,text_data,sentiment,label
0,Awas byk penipu.. Pihak aplikasi tidak bertanggung jawab atas kesalahan mitranya.. Tolong respon saya.. Saya pesan barang tidak dikirim.. Saya sudah bayar.. Ini nomer pesanan saya.. BL2318PSUMKDINV.. Aplikasi rusak.. Woiii bales woiii..,0,Negative
1,aplikasi membingungkan. komplain kog susahnya. ribet belanja disini.,0,Negative
2,Penanganan masalah yg lama. Akun tiba2 logout. Sudah coba menghubungi DM IG,0,Negative
3,Dasar aplikasi payah ...!!! Mo ambil saldo buka emas garaÂ² ganti no hp aja susahnya minta ampuuun ðŸ¤¦ðŸ¤¦ Udah diikutin caranya sampe berkali-kali tetep ga berhasil Dasar gak berguna ðŸ˜¡ðŸ˜¡,0,Negative
4,Tgl 20 kemarin sy sdh melakukan pembayaran tagihan listrik sebesar Rp 2.223.249 dgn rincian sebesar Rp 2.195.086 dibayar melalui internet banking ditambah saldo Dana sebesar Rp 30.663 . Transaksi sy dinyatakan sukses oleh bank CIMB niaga kpd Bukalapak tapi dalam status transaksi saya dibukalapak menunggu pembayaran hingga jd kadaluarsa sehingga saldo Dana sy otomatis dikembalikan tapi dana sebesar 2.195.086 tdk dikembalikan.cs bukabantuan cuman suru sy menunggu,0,Negative
6,aplikasi bobrok lama csnya respon dari kemarin refud dana limit udah ke potong di paynanti tetapi tidak kembali. pdahal setatus pembelian di batalkan,0,Negative
7,Bingung bgt mau hub cs caranya gmn.. Mau ngaktifin fitur live chat harus ngasih feedback,0,Negative
9,Lagi asyik-asyiknya nemu barang yang diincar,0,Negative
11,Aplikasi marketplace paling ancur.. Sistem bukabantuan ngga jelas jika ada masalah.. bukannya selesain masalah malah lari dr masalah live chatnya ngga guna.. apalagi sistem paylaternya bobrok.. Silahkan dicoba sendiri yg mau download nanti juga tau..,0,Negative
12,Harusnya akun bukalapak maupun akun lain itu tidak bisa di over alih pihak lain tanpa verifikasi lewat SMS jangan bisa pake email atau whatsap jadi akun mudah di retas.coba cuma pakai VIA SMS akun gak bakalan bisa di retas atau di over alih pihak lain.ini ko akun bisa verifikasi lewat email/whatsap.skali ke curi tu akun whatsap habis semua akun di retas.cobalah menurut saya ini di tanggapi biar tidak marak peretasan akun.,0,Negative
"13,""Lama ga dipake auto logout.. pas mau login ada notif """"akun tidak aktif"""" Klik buka bantuan mesti login dulu.. piye?"",0,Negative"
14,Bukalapak iat.... Dibalik. No terdaftar sama akun yang terhubung OVO DANA ga sesuai minta di putuskan ga di respon,0,Negative
16,Potongan layanan transaksi terlalu besar sangat memebebani penjual ,0,Negative
