,text_data,sentiment,label
0,pake poco X3 Pro Ram 6/128 yg sudah di Root performanya diatas SD 870 ,0,Negative
1,Tolong ditambahkan fitur pendukung gamepad / controller untuk pengguna mobile phone,1,Positive
2,Story 4.2 dan musik nya keren,1,Positive
3,Ping genshin impact kenapa makin kesini makin buruk ketika berpapasan dengan musuh/monster ping menjadi merah/999 dan kadang sering terpustus melakukan loading sendiri,0,Negative
4,Damn....udah gk kerasa ni game udah gw mainin lebih dari 3 tahun,1,Positive
6,Untuk genshin kalau bisa di buat versi lite nya agar orang2 yang ga bisa main karena internal terbatas bisa bermain dan juga untuk pengurangan data upd. ðŸ˜„,0,Negative
8,Tolong lah udah upgrade besar dan menguduh data besar juga mau habisin memori telepon apa ,0,Negative
10,Seru sekali rasanya game realistic ditambah petualangan luar biasa!,1,Positive
11,Game Nya Terlalu Mudah panas buat Dimainkan ,0,Negative
12,Update 4.2 lama banget padahal sinyal bagus buat download lainnya parah,0,Negative
"13,""Untuk RNG game ini baik dari segi gacha ataupun artefak sangat busuk, mungkin ada beberapa player yang beruntung tapi """"ada banyak"""" player yang RNG akunnya kurang bagus. Sebaiknya developer jangan terlalu banyak mencari untung dengan cara mempersulit RNG game ini, karena membuat gamenya kurang bisa dinikmati beberapa kalangan player."",0,Negative"
14,Setelah di update nggk bisa masuk lg. Payah. Download udah puluhan GB SANGAT MENGECEWAKAN,0,Negative
16,TCG Invocation adalah mini game yang sangat tidak seru,0,Negative
17,Saya punya saran untuk genshin: Berikan pilihan settingan ui sederhana agar eksplorasi lebih terasa nyata,1,Positive
20,Ini gimana ya? Kok di perangkat saya animasinya hitam semua gaada apa apa,0,Negative
21,Saya harap kapasitas resin ditambah serta kecepatan pengisian resin nya dipercepat dikarenakan adanya update seperti boss baru jumlah maksimal resin yang sekarang agak kurang ditambah lagi dengan kecepatan pengisian resin yang menurut saya cukup lama,0,Negative
22,Aku ingin memiliki game ini dalam mode offline. Karna sangat besar filenya. Saya takut hp saya tdk akan mampu lagi menampungnya. Saya ingin memainkan game ini secara offline. To dev: mohon sediakan kami mode offline utk kami yg senang menjelajah map. Terimakasih dev.,0,Negative
23,Game nya bagus grafik nya juga bagus banget cocok buat di mainin apalagi dunianya luas jadi bisa berjelajah ke manapun yang di inginkan,1,Positive
24,Aku suka genshin karena story nya bagus,1,Positive
25,Yang paling ngeselin sih ini cuma,0,Negative
26,Game rusak ko pas saya sudah mendownload data pas mau login kenapa harus download lagi data tolong di perbaiki,0,Negative
28,Durasi quest utama nya lama bgt sumpah,0,Negative
29,Butuh berapa ruang buat bisa buka game ini?? Gua udah bersihin semuanya ttp aja gak bisa dibuka.. Gameanjing....,0,Negative
"31,""Overall bagus, gw suka.. Ada beberapa hal yg perlu diperbaiki: - Jaringan (Kendala yang sering saya alami adalah ketika Fight sering Lag, dan yang paling bikin saya jengkel adalah ketika kita memasuki """"Dialog pada Quest"""" terus terjadi Disconnect, maka kita harus memulai dialog lagi dari awal. ðŸ¤¦â€â™‚ï¸ðŸ¤¦â€â™‚ï¸ - Beberapa bug seperti ketika karakter nyangkut di batu atau selaÂ² tembok dsb, tidak bisa keluar kecuali teleport atau on-off jaringan. - Harusnya ada fitur """"Klaim Semua"""" pada menu """"Achievement""""."",0,Negative"
32,Bisa gak sih ni game kalau mau update itu selain update versi jangan gede gede gw tiba tiba di kasih update gede sape 1.4gb entah itu update apaan padahal itu bukan pra unduhan atau update data tambahan saat baru update versi baru tolonglah minimal ada rincian saat loading screen kalau ada update biar saya gak kesel kesel amat ðŸ˜¡,0,Negative
34,Perbaiki masalah dong min ini sya coba spam teleport ke tempat SM lalu keluar dari gamenya lngsung crash dan kalo relog ulang hp mati2 sendiri.,0,Negative
"36,""Nggak bisa masuk, mentok di login, """"login gagal hubungi pembuat aplikasi"""" Dah gua coba pakai pacebook, email atau akun google, padahal gua main di persi update 2.2 - 4.1, aman aman aja, eh pas update 4.2 malah jadi gini"",0,Negative"
37,akun gw udah gk pernah top up lagi semenjak bulanan dah habis/gk bisa beli lagi 180hari dari semenjak itu kalau pity rate off gk pernah dapet anying LAWAK semenjak suka top up itu sama battle pass di kasih hoki mulu anying cuihh,0,Negative
38,Tolong mengunduh data harap di hilangkan,0,Negative
39,Setiap Update pasti di suruh download ulangðŸ¤¬ Tolong di perbaiki dong,0,Negative
40,Overall udah bagus banget ini game! Cuman setelah saya update ke versi 3.7 ini saya mendapatkan bug damage saya eror,0,Negative
41,Di update akhirnya udh gk ada lag lagi hanya masih sering force close,0,Negative
43,4.2 sangat mengecewakan. Furina arcon tidak berguna game play terlalu ribet. Sudah capek2 saya menabung,0,Negative
44,Saya memaksakan untuk bermain game ini di hp kentang saya,0,Negative
45,Admin ini kenapa setelah update malah ngga bisa login tulisannya jaringan eror terus padahal udah pake jaringan data seluler udah ngga pake wifi,0,Negative
46,Honkai Impact lebih fast pace jadi lebih suka combatnya tapi gameplay lebih suka Genshin,0,Negative
48,Ukuran gede tapi nga ada on voice moga ajah nih game ada on voice nya biar enak bantu temen sambil ngobrol malas terus ngetik,0,Negative
51,Buat geem nyah bagus tapi a 1 yang sayag gak suka updated nya gak ngotak sekali update 4gb 10 gb ngabisin kouta doang,0,Negative
53,GAME INI ADALAH GAME IMPIAN AKU BANGET,0,Negative
54,mohon maaf atas ketidak sopannya yaa...,0,Negative
55,Game anak tiri emang beda hadiahnya aja cuma 20if,0,Negative
56,Saya merasa sangat kecewa dengan spiral yang sekarang karena terlalu sulit apa lagi untuk player f2p dengan artefak yang sangat susah untuk mendapatkan stat yang mungkin jauh dari kata bagus,0,Negative
"58,""bansos pelit bgt ultah gtu""""ajh, payah payah, di tambah abdate ada tgc mulu, sedangkan jarang player yg main, buat kedepannya cobalah buat fitur download tgc, jdi setiap player bisa harus download tgc, yg gk suka tgc bisa hapus datanya,"",0,Negative"
59,Hmm oke lah untuk tahun ini,1,Positive
60,Keren banget game nya seru terus map nya luas banget bos bos nya seru banget ... Ini adalah game nomer satu dari sejuta juta seribu seribu game yang udah pernah ku download hanya sang genshin ini lah yang paling debes pokoknya ini bagus bangettt aku sukaaa karakternya banyak element nya bagus bagus beh bagus debes muah juara banget ini game ...... Buruan download biar rasakan keseruan dan kesenengan bermain game iniii . Terima kasih banyak ðŸ¥°ðŸ¥°ðŸ¥°ðŸ˜ðŸ˜ðŸ˜ðŸ¤©ðŸ¤©ðŸ¤©ðŸ˜˜ðŸ˜˜ðŸ˜˜âœ¨âœ¨âœ¨,1,Positive
62,Fantastis... namun pengalaman bermain akan lebih baik jika dikurangi size gamenya,0,Negative
63,Keren lah alur ceritanya dan player juga bebas bergerak. Cuma memang gak bisa setting tampilan MC aja jadi lebih custom,1,Positive
64,Grafik luar biasa alur juga luar biasa,1,Positive
66,Makin kesini makin jelek aja sistem nya Dulu login banyak akun bisa aja Kemarin login udah dibatasin 10 akun/jam Sekarang pas update furina malah dibatasin login 4 akun/jam AUTO SPAM â­1 !!!!,0,Negative
67,Untuk gamenya udah parti seru banget. Tapi saya punya keluhan untuk update datanya. Pendownload'an stack di 86% gk bisa maju lagi,0,Negative
68,Game yg ceritanya bagus. Di bangun perlahan tapi pasti dan penuh plot twist. Masalah grafik,0,Negative
69,Bagus cuman setiap update unduhannya satu - persatu jadinya lama banget baru bisa main karena unduhannya di bagi satu persatu,0,Negative
70,Gamenya seru apalagi suka sm ceritanya,1,Positive
73,Udah di download data dalam 19 gb trs pas mau lanjut downlod di update lagi trus di ulang lagi 26 gb anjirr lah,0,Negative
75,Untuk updatean sekarang sudah semakin seru dan makin ga sabar buat nunggu quest archonnya.ðŸ‘ðŸ‘ cuman ya gitu kalo gacha atau up artefak suka ampas mulu,1,Positive
77,Tolong kenapa akun saya ke log out sendiri ketika sinyal saya hilang lalu saya mencoba menyambungkan kembali tapi tiba tiba saya ke log out? Tolong perbaiki ini,0,Negative
78,Baru coba main dan langsung suka sama game ini,1,Positive
79,Jujur aku dulu gasuka game samsek,0,Negative
80,Saya udh suka main game ini grafik bagus dan luas .tapi ada sedikit kendala .di mana kalau apdet data game nya nambah trus .trus harus KH download data tambahan,0,Negative
81,Aku suka banget mainan game ini,1,Positive
