,text_data,sentiment,label
0,Aplikasinya akhir-akhir ini bermasalah. (1) loading lambat. (2) gopay paylater tidak bisa digunakan walaupun saldonya masih full. Padahal sebelumnya sangat bisa diandalkan. Sekarang susah,0,Negative
1,Jika mau perubahan itu dampak nya semua kena enak nya.. Ini di kota saya.. Daftar jdi driver bayar hampir sejuta bayarnya.. Sudah 1 bulan lah banyak driver baru.. Dampak nya itu orderan cuma di kasih ke driver baru karena mereka bayar pas daftranya.. Lah kita daftar gratis. Jdi driver yg gratis malah akunya hancur . Bayangin 15 jam kerja cuma dpat 5 orderan.. Dan anak baru yg daftar nya bayar 9 jam kerja udah 15 sampai 20 orderan.. Bayangin sistem gmn ini,0,Negative
"2,""Makin di update makin nggk jelas. Sering keluar. Macet. Dan yakin ini dari aplikasi nya. Bukan masalah jaringan. Cobalah kalau di update itu lebih baik. Bukan di update malah makin buruk. Bikin kita yang pesan dengan driver cari""""an. Kalau nggk niat perbaiki mending nggk usah update."",0,Negative"
3,Kgk bisa verifikasi anjeng. Pdhl jaringan lancar,0,Negative
4,Dulu keseringan update jadi tambah lemot. Sekarang pesanngocar hemat dapat drivee jauh. Lama nungggunya.kasihan juga driveenya. Giliran pakai tanpa promo dapat driver dekat. Maksudnya apa pakai sistem ginian. Jaga service ?,0,Negative
5,Saldo di akun gopay isi malam pagi nya ludes.aplikasi ini ternyata memiliki keamanan yg tipis. Saldo hilang aneh nya riwayat atau data transaksi tak bisa di buka.sehingga menyulitkan nasabah untuk membuat laporan.kirim laporan via email,0,Negative
6,Pelayanan buruk gak cepat buat apa ada cs gak bantu sama sekali Masa langsung pesan pesanan padahal blm d klik... pesan baru aja pilih pengantaran boleh dong ajukan pembatalan . Tp nihil .. saya udah lNgganan lama tp hr ini bagi saya merugikan . Menurut saya bukan saya aja yg komplen perkara tentang pmbatalan ini Berati memang anda dr gojek nya bermaslah *Tolong jangan balas jika mngalami kndala serupa silahkan klik bantuan bla bla* Sudah saya lakuin semua malah ngelamain gak ada solusi..,0,Negative
7,Tidak ad tombol batalkan pesanan di gofood. Pesanan mengalami keterlambatan 1 jam dari waktu semestinya dengan alasan tidak ad driver,0,Negative
8,Sebenarnya suka bgt sh sama aplikasi gojek ini..karna sangat membantu,1,Positive
9,Minta tolong dihilangkan saja pesanan mode hemat. Sangat merugikan saya,0,Negative
10,Makin kesini makin jelek ni aplikasi kirain hp nya yg bermasalah ga tau ny setelah upgrade makin bobrok,0,Negative
11,kenapa selalu bermasalah dengan koneksi internetnya saat mau top up bayar gopaylater padahal jaringan saya stabil ga ngeleg sama sekali.. mohon diperbaiki.. pdahal saya lebih sering saya pake gojek dripda aplikasi lainnya tapi kalau bermasalah kek gini terus sangat mengecewakan sekali,0,Negative
"12,""Mohon cepat diatasi, soalnya setiap kali pembayaran pake gopay pasti selalu gangguan dengan alasan tidak ada jaringan, padahal jaringan baik"""" saja, kalau begini terus jadi malas pake gopay"",0,Negative"
13,Email saya belum di tautkan.. Lgsg engak bisa guna kan aplikasi.. Cukup nomor saja.. Dan aplikasi mau pesan makanan pun susah.. Ribet.. Tunggu saya daftar semua ny selesai..lapar sudah.. Kecewa,0,Negative
15,Pesanan tiba2 batal dan otomatis pesan ulang dengan pesanan tanpa promo. Bener2 aplikasi aneh. Di batalkan sudah gak bisa,0,Negative
16,Ini aplikasi sudah tidak benar! Saya transfer uang ke gopay,0,Negative
"20,""Kadang sering """" tidak terhubung jaringan"""" padahal jaringan internet saya kencang dan kuota internet ada , saya ganti pin gopay saya , ke yang baru ada pemberitahuan """" tidak terhubung dengan jaringan"""" ini jaringan nya saya atau memang aplikasi nya yang tidak bagus, saya mau beli kuota di aplikasi Telkomsel ajah ribet , saya sudah masukin pin sya , ternyata salah, saya ubah pin lama saya ke pin baru , malah selalu ada tulisan """" tidak terhubung dengan jaringan"""" tolong di perbaiki!"",0,Negative"
21,Ngirim keluhan via email karena ada kendala login gak direspon2,0,Negative
