,text_data,sentiment,label
1,"Kurang bagus apk ya, masih kurang",0,Negative
2,"Udah mau setaun berlangganan, tapi adanya kenaikan harga, mana 3 kali lipat lagi, jadinya engga dulu deh ga sanggup, mungkin bukan target pasarnya. Uninstal aja.",0,Negative
3,Sering nge lag.. unrecommended pokoknya.. nyesel gw download nya,0,Negative
4,Sorry utk bintang 1 nya. Karena gak bisa disambungkan ke tv padahal udah beli paket berlangganan 1 bulan dr hp. Pas mau di sambungkan malah disuruh berlangganan lagi ke premium. Dikiranya kita banyak duit kali ya buat bayar gituan. Terpaksa 1 bulan kemarin hanya nonton dari hp. Bulan ini auto delete dah. Ribet banget. Bye disney+,0,Negative
5,Duh resolusinya rendah terus dan beberapa kali ngebug. Mana harganya naik terus lagi. Cukup tau ajalah,0,Negative
6,"Sy udah lama gk pake Disney, br kmaren top up gopay masa langsung top up Disney otomatis. Bener bener parah 🤬🤬🤬",0,Negative
7,membuat karakter film superhero yg menyelamatkan dunia. tapi malah sebaliknya! saya tidak mau pakai aplikasi yang mendukung kejahatan yang ada di dunia.,1,Positive
8,"Ga bisa masuk ket tidak bisa login krna pvn proxy mlu ,nyesel berlangganan dulu",0,Negative
9,"Ga bisa masuk ket tidak bisa login krna pvn proxy mlu ,nyesel berlangganan dulu",0,Negative
10,Tidak kerjasama dgn paket tsel lagi,0,Negative
11,"Mau koneksi ke TV selalu tidak bisa, percuma berlangganan 1 tahun.",0,Negative
12,ditambahkan lagi dari film hingga seriesnya,0,Negative
13,selalu lag dan pilihan film tidak lengkap serta banyak hal yang tidak harus ditonton oleh anak anak,0,Negative
14,Maaf sudah tidak berlangganan lagi krn Induk perusahaan anda... Ya u know lah,0,Negative
15,"Bayar tahunan skrg mahal naik, mana dukung yg ono, un install",0,Negative
16,"Udah coba 2x langganan dan uninstal ternyata masih error di redmi tab, aneh banget... Kayak sampah",0,Negative
17,Harga sudah tidak worth it dengan banyaknya konten,0,Negative
19,"Aplikasi streaming film terbaikk ,. Udah langganan , filmnya update , oh iyaa yang suka film MARVEL di sini tempatnya ,.",1,Positive
20,"Selama 100 tahun membuat film buat anak-anak, tapi akhirnya memberi sumbangan kepada mereka yg membunuh banyak sekali anak-anak",1,Positive
21,Boikot Disney+ memberi bantuan buat anu.... makin gajelas.,0,Negative
22,Baru asik nonton film tiba-tiba ke Uninstal gimana sih gak jelas!,0,Negative
