,text_data,sentiment,label
0,Saya rank legend 5 malah terus bertemu musuh yang sudah legend 1/2. Dan itu pasti membuat saya kalah,0,Negative
"2,""Untuk mobile legend tolong kembalikan grafik """"Optimasi FPS"""" agar gameplay kita yg hp dengan ram kecil bisa menikmati game tanpa patah, lag atau sejenisnya. Jadi saya ingin di update-an kedepannya dikembalikan untuk grafik Optimasi. Saran saya itu saja..... terima kasih."",1,Positive"
3,Sistem matchmaking sekarang terlalu buruk. Saya selalu main solo,0,Negative
"4,""Sok""""an grafik tinggi, mendingan lu perbaiki dulu bugnya. Gilak 8ram masih kena bug, habis update mau main malah keluar dari lobby terus, mana yg lain ga bisa di klaim. Klo soal jaringan ge baik"""" aja tu waktu main spiral abyss di genshin, ga patah"""" sama sekali. Percuma update grafik tinggi klo matchmaking aja blm adil gblk. Mau nyaingin siapa lu grafik tinggi"""" banyak player ga bisa main jadinya, gua do'ain game lu cepet sepi, klo masih blm perbaiki masalah tentang dark sistem"",0,Negative"
6,yg bener aja deh moonton dikasih musuh yg jago semua,0,Negative
7,Sumpah. Kok bisa tiba2 server down pas in game. Ga bisa rilog lagi. Malah pas rilog ga bisa nerusin pertandingan. Ttp di halaman depan ga jelas. Mohon perbaiki lagi gamenya. Kalo misalkan masih banyak yang belum berfungsi jangan luncurkan dulu update terbarunya,0,Negative
8,Tolong diperbaiki dalam sistem matchmaking nya . Saya pemula,0,Negative
9,Sekarang game ini sudah tidak seseru dulu. Sekarang matchmeking selalu tidak seimbang bagi yang pemain solo karena teman satu tim jumlah matchmeking nya di bawah 1000,0,Negative
11,Sekarang untuk mekanisme rank udah bagus dan download resource udah bagus tapi ada beberapa masalah saat bermain game di rank maupun di clasic saya sering mengalami masalah lag padahal penyimpanan di hp saya masih banyak dan sinyal bagus tapi tetap lag,0,Negative
"12,""Ga ada sama sekali pengoptimalan matchmaking, ditambah sering lag dan patah"""", saya harap dari development segera menangani masalah ini, bukan hanya satu player aja, bahkan yang lain juga merasakan jaringan yang naik turun ketika dah masuk game nya"",0,Negative"
13,Mohon masukkan ke seimbangan dalam pertandingan jangan musuh pro tim ngefeed,0,Negative
14,Semenjak di update proses download jadi lama banget,0,Negative
15,Kenapa setelah di update jadi begini?? Game terasa berat banget,0,Negative
16,semakin update kualitas jaringan in game semakin buruk,0,Negative
17,Mohon pihak developer dipertimbangkan lagi untuk mengimbangkan tim dengan musuh. Kami selaku player sering sekali ketika hampir ingin naik rank,0,Negative
18,Gamenya sih lumayan tapi gue kurang suka karena kita belum milih udah terpilih sendiri haduh. Trus kalo setelah update rank turun padahal bentar lagi legend huh.,0,Negative
19,Pembagian tim sangat tidak jelas Sering sekali tim tidak seimbang dengan lawan. Untuk update yang sekarang kurang berfungsi,0,Negative
20,Saya beri bintang satu karena kenapa saat saya bermain selalu mendapat tim yang bot sedang kan tim musuh jauh lebih baik saya sarankan mengurangi drak sistem moonton! Agar player bisa mudah menaikkan rank ke rank mytik saya lebih bermasalah pada tim musuh yang bermain dengan keroyokan itu sangat mengganggu dan tim saya yang selalu melakukan feed dengan sengaja itu saya sangat tidak suka dan jika bisa tim dengan rank rendah dipasangkan dengan rank rendah bukan rank rendah bukan sebaliknya!!!!,0,Negative
21,Saya sudah update semuanya.. tapi heronya malah tidak tampil... jadi pas main cuma bulet2 aja... padahal sudah update semua sampai saya coba di masing2 grafis dari rendah sedang sampai hight... sama saja tidak berubah pada saat main heronya cuma bulet2 tidak tampil Padahal sudah update semuanya,0,Negative
22,kasian bos ram ram 3/32 jadi gabisa main ,0,Negative
"23,""GAME SETANNN!!, ni padahal sinyal lancar dari wifi tapi di dalam pertandingan selalu patah"""" atau ngelag, parahnya lagi mencet ping yg buruk untuk tau semua tim saya malah ping yg bagus keluarnya ini mah udah kaya fitnah aja gitu trus pas lagi war ping nya buruk trus mati pas mati ping nya hijau, trus masalah match rank gw berasa di troll sama tim sendiri sampai pertandingan selanjutnya, tau nya ngomongin orang tlol padahal ia sendiri yg ga niat main kontollll"",0,Negative"
"24,""Jangan di banyakin event nya doang, benerin dulu sistem jaringan nya, event di gedein benerin jaringan aja kaga bisa, sinyal stabil, di loby stabil, matching stabil, bagian in game busuk, pas war busuk, sinyal 4G+ tapi masih aja lag, org main game mau seneng"""" malah jadi stress gara"""" game nya,"",0,Negative"
26,Kenapa ya sekarang kalau update lama banget pdhal sudah pakai wifi sudah pakai data masih saja tidak jalan update nya,0,Negative
27,Skrng MLBB jdi gmna sih ? Banyak bug nya... Minimal jangan smpe ngebug di loby kek ini event gk bisa di buka,0,Negative
28,Tadi pakai hero Aamon kenapa sering sekali salah sasaran Serangnyaa bukan hero lawan malahan ke Minion atau monster terus mau pakai skill 3nyaa udah di pencet gak aktif aktif berkali-kali posisi dekat lagi,0,Negative
30,Sangat di sayangkan bila mode offline di nonaktifkan padahal mode itu cocok untuk player yang tidak memiliki jaringan contohnya saya sendiri saat mau main mode offline malah di nonaktifkan jika bisa kasih aktif kembali untuk mode offline itu saja keluhan saya... Jika sudah aktif kembali maka bintangnya ku kasih 5 lagi,0,Negative
31,untuk ml versi terbaru ini sangat tidak menyenangkan,0,Negative
33,Ayolah ini masih masalah dasar dalam game yakni jaringan... Kadang-kadang ping jaringan drop sampai 300 apalagi pas war tiba-tiba lag yang pastinya akan membuat permainan kita menjadi tidak maksimal....,0,Negative
34,Setiap main rank pasti lose streak terus,0,Negative
38,Kenapa lg ini game. Kalian juga tahu sendiri lah,1,Positive
39,Setelah update versi terbaru bukannya makin lancar malah lebih sering mengalami bug ataupun aplikasi tidak dapat beroperasi. Salah satu penyebab pertandingan lose strike sebanyak 12 kali entah itu dimode apapun,0,Negative
"40,""Hal Yang Paling Bodoh Di ML adalah ketika jaringan bagus tiba"""" nge freem dan lag lebih parah ny menyambungkan ulang padahal jaringan bagus+ dapat hadiah kredit skor berkurang padahal kita sebagai player sudah semaksimal mungkin masuk ke pertandingan namun ketika menyambungkan ulang seakan di perlambat untuk masuk ke area pertempuran Asli pnyakit TOLOLk"",0,Negative"
"41,""Banyak bug sekarang di update terbaru 1.tidak bisa memulai permainan pada saat masuk loby,2,matcmaking lama,3,jaringan tidak stabil,,,mana bisa kalok macem gini di update terbaru,,,tolong moonton perbaiki bug"""" yng tidak jelas,, ðŸ™ðŸ™ðŸ™"",0,Negative"
"42,""Sistemnya gak jelas masa lostreak gara"""" dapat tim tukang ngetroll, terus dapat lawan yang kompak. Harusnya kasih rata lah pembagian pemainnya pas waktu mau match masa harus di sengaja di kasih lostreak, kadang juga dapat bot di tim kayak sudah sepi aja yang main sampe ada bot. Intinya saya kecewa aja sudah main capek"""" dapat tim yang selalu buat pelanggaran, kalau sekali-kali sih gak masalah, lah ini sampe 5x berturut"""" dapat tim yang feeder.."",0,Negative"
43,Pas mau rank malah apk nya nge lag padahal jaringan oke2 aja,0,Negative
44,Gara2 update saya gak bisa main,0,Negative
"46,""Ini pihak moonton gmna sii .. selama season s30 akun kena dark sistem terus,, kagak ngerti lagi dah gua ma ini game ,, logika nya gua pake wifi internetan kenceng kenapa pas main di game ping tinggi 300 terus ?? Kagak masuk akal , itu pun udh di bantu pake data + wifi ,, udh macam cara gua lakuin tetep ajah ping tinggi terus ,, gua harus pake wifi yg kaya gmna lagi sii ?? Akun gua banyak AFK cuman gara"""" jaringan merah gak jelas , boro"""" mau nikmatin game , yg ada stress .."",0,Negative"
47,Kecewa berat telah mengunduh game ini dikarenakan jaringan yang tidak pernah bisa stabil,0,Negative
