,text_data,sentiment,label
0,"Udah oke , cuma kalo kita lagi dengerin musik pasti bakal ga bisa ke skip atau milih yang lain , dan lagu juga berpindah ke artis yang lain , iklannya juga mengganggu, dan iklannya juga aga lama karena dia sering muncul selama 30 detik atau 1menit , dan itu mengganggu kenyamanan saya saat sedang mendengarkan lagu , dan untuk premium , tolong yang ga premium bebas kan lagi karena saya cukup kecewa karena ada batasan memilih lagu.",0,Negative
1,"pake nanya, bagus banget lah pantesan yang terbaik wkwkwk",0,Negative
2,"sekarang kalo nyetel lagu ngga ada liriknyaaa, sekali nyetel lagu, iklan, sekali nyetel, iklan lgi. perbaiki yaaa",0,Negative
3,Aplikasi nya bagus kok cuma pas mo ganti lagu iklan terus mana sampe 4 kali males banget jadinya kalo udah ga ada iklannya baru saya kasi bintang 5,0,Negative
4,ga bisa di buka terjadi kesalahan terus,0,Negative
5,"Mau dengerin musik eror mulu, kadang musik nya keluar sendiri lah banyak bet masalah nya, sekarang apk nya yang masalah",0,Negative
6,Bagus banget aku ampe punya lagu favirit,1,Positive
7,"Beberapa lagu liriknya tidak muncul padahal sudah beli premium,saya sebagai costumer merasa sangat kecewa",0,Negative
8,"Enak"" lagunya, mudah, murah, lagu lengkap. pokoknya top lah spotify",1,Positive
9,"Sudah tahunan saya mengunakan ini, tapi dengan adanya shuffle pintar, saya menjadi kurang nyaman sebagai pengguna non-premium. Lagu yang tidak ada diplaylist (lagu rekomendasi malah keputar padahal sudah saya setting). Ini namanya pemaksaan premium 😂😂😂😂😂",0,Negative
10,"Udah berkali2 nge dislike iklan horor, tapi tetep diputer terus. Gimana sih? Terus fungsinya dislike di iklan apa?",0,Negative
11,Ini tu bagus di denger lagu nya,1,Positive
13,"udah bagus, tapi tolong liriknya adain lagi.",0,Negative
15,"Mau join jd premium di spotify tapi ga bisa2, selalu responnya coba lagi terus. Aneh deh ini aplikasi",0,Negative
16,Tiba2 liriknya ilang tapi setelah update dah balik,0,Negative
