,text_data,sentiment,label
0,Sekarang tiktok jadi banyak lag nya apalagi ada bacaan Tiktok tidak menggapi aplgi pas slide foto nya item gambarnya terus lag tolong di perbaiki,0,Negative
1,"Saya sudah 4 tahun menggunakan aplikasi ini tapi tidak pernah bosen karena saya bisa mengikuti jaman lewat aplikasi tiktok ini saya bisa melihat akun teman, berjoget dengan banyaknya lagu di tiktok,dan saya cukup puas dengan aplikasi ini tapi saya belom bisa bikin akun karena akun saya yang dulu dihapus oleh tiktok tolong ya jangan hapus akun tiktok saya lagi",0,Negative
2,"Sebener nya aplikasi nya bagus,banget malah cuman gatau kenapa fitur foto geser saya hilang tidak bisa dipakai juga ketika ingin membuat vidio dengan filter selalu tidak bisa padahal saya update terus jujur agak kecewa sama tik tok",0,Negative
3,Tik tok itu tidak seperti aplikasi snackvideo yang mudah dapat point dijadika uang...tiktok mau folllower banyak pun ga jadi point..pelitt Apalagi ada fitur baru cara video series saya rasa ga ada guna ya,0,Negative
4,Ini kenapa ya setiap kita scroll tiktok sekarang kok kaya berat gitu apk nya gmn si update terus terusan tapi kualitas mengurangi respon dong developer,0,Negative
5,Makin kesini bukannya makin bagus malah makin jelek susah dibuka sering kluar sndiri...masa iya harus uninstal donwload lgi kaya gitu terus tiap hari,0,Negative
6,"Ini tik tok knpa sich hbs di updet jdi lelet kya gini ,,,kadang bisa longout sndri 😏, nyesel sy updat'nya,,tlong di perbaiki tik tok nya sprti yg dlu ,",0,Negative
7,"KEMBALIKAN FILTER FLORAKUU!!! masa efek yg tadinya ada skrg jdi hilang, efek ini tdk mendukung perangkat anda, gabisa di pake segala cara lagi buat ngembaliin nya lagi, YAKALI GW SURUH BELI HP LAGI ini hp aja baru beli 6 bulan lalu, TIKTOK KONT PELIT FILTER CUIHHH PILIH KASIH pdhl hp gw realme c30s masa ga mendukung,gamau tau pokoknya kembaliin filter flora gua taiiii taiiii",0,Negative
8,Saya pas mau nonton tiba tiba akun saya ke blokir dan harus bikin akun baru dan kadang kadang ngeleg ngeframe semoga bisa di perbaiki oleh tiktok,0,Negative
9,"Suka dengan apps ini, apa aja yg saya cari ada, paling suka ngeliat resep² masakan chinese food jg",1,Positive
10,Bug bikin hp eror !!! di unistal diwnload lg malah video2 konten pada ilang semua malesin njir !!!,0,Negative
11,"Saya tidak ingin memberikan bintang karna apk nya sangat mengecewakan sekali, Jaringn 4G malah kembali sendiri,layar hitam,tambah lgi ngeleg kesel bngt 😡😡",0,Negative
12,"Aplikasi kadang tidak bisa dibuka, sudah direstart pun tetap sama. Di update bukannya makin lancar malah makin bobrok",0,Negative
13,"fitur menyimpan langsung ke galerinya ga muncul, udh di update berkali kali sampai nonton cara di yt tetap gabisa",0,Negative
14,Selalu muncul iklan meski tidak membuka aplikasinya,0,Negative
15,Nemu apk musik online terlengkap lagi ni moga² kedepan nya lebih bagus lagi dan Jan kebanyakan iklan yah 🤭🤭 terimakasih tiktok semakin maju,1,Positive
16,"Gak bisa aplikasi TikTok gmn ni, mimin knpa gk bsa Downlond Tik Tok mimin gmn gk bsa aplikasi Tik Tok tolong kasih thu apa masalah ya tolong dong aku bsa kan aplikasi Tik Tok susah banget aplikasi tik tok bu mun kok tik tok aku gk bisa d buka tolong kasih tahu nya tik tik aku kok bahasa luar tik tok ku kok aplikasi lgi aku uda aplikasi mimin",0,Negative
17,Tik tok makin jelek anjir keluar sendiri pas baru buka tik tok tuh ngelek sampai terkeluar padahal dulu tidak kok sekarang makin jelek dan satu lagi yaitu selama ini makin di update makin banyak bug nya yaitu seperti tiba tiba hitam layar tapi ada suaranya dan langsung terkeluar dari tik tok jadi tolong di perbaiki ya pick me dan ada juga lagi seru nonton live orang eh tiba tiba pas leave dari live malah lag dan terkeluar jadi tolong ya di perbaiki pick me kaya a*Ji*g,0,Negative
18,"Trimaksih ada nya program tik tok ini saya jadi senang bisa nonton berita ye uptidate dan vidio unik dan lucu bisa posting juga dan banyak nambah teman, semoga tik tok ini bisa memberikan wawasan yg baik, trimakasih tik tok (ada bonus uang nya juga) tik tok emang keren is the beast lah pokok nya",1,Positive
19,"Bagus si aplikasinya,tapi syang kok sya fto g bsa disimpan ya pda hal udah diperbarui tetep aja g bsa ksimpan ftonya",0,Negative
20,"Tolong perbaiki lgi , banyak bug , sering keluar sendiri dari aplikasi ny Toko perbaiki lagi",0,Negative
21,Kenapa ya orang ada yg bilang suka hitam gambarnya cuma ada gambar tiktok nya .aku jelasin ya itu adalah lemot atau kouta kalian habis terus ada yg komen lagi suka ga bisa di pencet kaya balik lagi jadi gabisa nonton itu juga sebenernya ada masalahnya masalahnya itu adalah memori nya penuh😊,0,Negative
22,"bagus banget, meski lama akhirnya masalah di tiktok terselesaikan. maaf memberi bintang 1 terlanjur kekirim",0,Negative
23,Hari ini update karena tidak bisa upload video. setelah update kok malah makin sulit bukanya. Makin nge bug nih. Mohon perbaikannya pihak TikTok,0,Negative
24,Tiktok nya bagus Tpi udah update berkali kali kok nga bisa yang kayak trend sekarang itu padahal udh update dan tetap gada pengeditan slowmo patah patah,0,Negative
25,"Saya pernah tertipu tiktok untuk busana muslim, uang sudah ditransfer tapi barang tidak dikirim. Sangat kecewa. Konsumen dirugikan.",0,Negative
26,Ini tiktok lgy knpa sih udh berkali2 instal ntr baru dua hari di pake tiba2 GK bisa di buka trus unistal ntr di instal lgi trus ajh bgtu sampe bosen daftar ulang terus,0,Negative
27,"Sekedar sharing nih gue, ceritanya gua liat streaming game istri gua , nah gua tap2 layar dong guna support, gua tap2 layar sampai 20k , di tiktok muncul nah baru gua keluar terus masuk lagi, eh nggak taunya tap2 nya cuma muncul 4.5k , itu maksudnya gimana, guna dikit Napa tiktok",0,Negative
28,"Aplikasi sering force close bjir,setelah update terlalu banyak bug",0,Negative
29,Kok sering banget update yh padahal udh 100% lama banget ba4u selesai,0,Negative
30,"huh, sudh lama memakai tiktk makin menjadi-jadi saja membuat pengguna sangat tidak nyaman dngn ke errorn apk tiktok.",0,Negative
31,"parah banget sih. filter² yg aku suka, udah di save malah pada hilang semua. mana yg paling suka lagi yg pada hilang 👎👎👎",0,Negative
32,Banyak bgt bug nya tapi gkpp saya hanya minta tolong saja agar bisa lebih bagus,0,Negative
33,Bagus sih seru juga bisa cari nama tik tok temen bisa nyari lagu pokoknya bagus deh,1,Positive
34,Banyak bug aplikasi nya susah di buka kaya Udah rusak ditambah pas enak enak ny nonton malah keluar scra tiba ²,0,Negative
35,"Tolong tambahin fitur dark mode,supaya pengguna menggunakan aplikasi tiktok di malam hari jadi lebih nyaman,supaya juga tidak merusak mata terima kasih!!!!",1,Positive
