,text_data,sentiment,label
0,Dulu aplikasi ini bagus. Tp makin lama .. makin menurun aja.. kadang pakai promo. Tp tiba2 dibatalkan sepihak. Belum lagi cara bayar juga ribet. Promo yg diberikan jg tidak teralu menarik bagi penjual.. sistem pengiriman yang lama di opsi free ongkir dan membuat kita tidak bisa memilih jasa ekspedisi. Is ok.. mgkin udah saatnya saya berhenti menggunakan aplikasi ini setelah sekian lama saya jd pelanggan setia di tokopedia. Belanja makin lama,0,Negative
1,Semakin kesini untuk sistem pengiriman semakin tidak jelas ,0,Negative
6,Pantes marketplace ini sepi ya........ Percuma ngasih bonus tapi setelah pembayaran di batalkan,0,Negative
8,Aplikasi payah affiliate mya di ban karena masalah yang ga jelas... Udah langganan plus to skrg gojek udah ga ada promo... Keterangan plus gratis biaya layanan nyatanya tetep kena.. Bingunggg dehhh klo ga niat kasih affiliate jng di kasi deh dr pada kecewa ga ada kejelasan,0,Negative
10,Ngg di update macet aplikasi nya tapi setelah saya update baru masuk aplikasi malah keluar sendiri,0,Negative
"11,""aneh bgt masa saya pake voucher pengguna baru pesanan saya di batalin sm pihak tokped dgn alasan tidak memenuhi syarat klo emg dari awal udh gada promo ya gaush ada voucher promo' segala,,, percuma awal"""" bisa di pake tpi pas udh di co tiba' pesanan di batalin aneh!!!"",0,Negative"
12,Instant gak ada juga promo...kapan ni belanja ditokopedia jadi asyik lagi,0,Negative
14,Biasanya stabil dan enak dipake. Akhir akhir ini malah bikin susah. Jangan ngikutin aplikasi sebelah,0,Negative
16,Aplikasi saya pasang di Oppo A39 android 5.1 setiap dibuka selalu nutup sendiri. Kalo emang gak bisa ya mbok ditolak saat install.,0,Negative
18,Disuruh update..tapi begitu diupdate gak bisa..muter terus..jadi gak bisa belanja di tokopedia..sampai saat ini tidak bisa instal ulang karena terus muter saja...instalnya sanhat lambat padahal sinyal kuat..muter2 terus berjam2..,0,Negative
19,Sangat-sangat kecewa saya sudah cari tutorial di berbagai sosmed bagaimana agar tokped bisa cod. Dan langsung saya coba hasilnya nihil,0,Negative
20,Sangat sangat kecewa dengan aplikasi Tokopedia karena pembatalan otomatis harus nunggu 1x24 jam itu ngapain coba saya butuh uang nya mau saya pakek beli barang lagi .sangat tidak memuasakan,0,Negative
24,Aplikasi kacau Duit ku tidak bisa diambil di tokped dengan ovo. Sudah klarifikasi data lengkap. Tapiujung nya tidak bisa.,0,Negative
25,Aplikasi tidak berjalan normal. Kemu gkinan ada bug atau apalah itu atau aplikasi tidak cocok untuk hp jelek karna saya cuma punya hp jelek dan murahan. Untuk halaman awal saat membuka aplikasi itu semakin simple semakin baik.,0,Negative
27,Penyelesaian masalah lama sekali...barang saya belum sampai di tangan saya setelah di cek ternyata dari keterangan apk jasa pengiriman mengembalikan paket saya ke penjual..sudah 2 bulan DANA saya belum di kembalikan dengan lengkap padahal bukan kesalahan saya....SHOPEE masih lebih cepat dalam penyelesaian masalah bila kelamaan custumer service shoppe langsung menghubungi saya....TOKO PEDIA PARAAAHHH....Saya tidak merekomendasikan apk ini...,0,Negative
