,text_data,sentiment,label
0,"tolong donk di kembalikan lgi dgn yg dulu soal nya whatsapp sekarang susah sekali saat membuat status whatsapp jadi saat aku post vidio itu susah bgt pdhl muternya cepet, tlng dong do respon yg ini soal nya olshop ku saat post terganggu🙏",0,Negative
1,Fitur yang baru lumayan cocok ....dan menurut saya fitur menu yang di bawah lebih nyaman dari pada yang menu nya di atas....padahal udh mulai nyaman sama fitur yang baru tapi malah balik lagi ke fitur yang lama yaitu menu nya ada di atas..... menurut saya kurang nyaman,0,Negative
2,"baru diupdate, ternayata 2 hari kebelakang tampilannya jd bagus bgt. ko sekarang berubah lagi jd ke tampilan lama! kenapa yah???",0,Negative
3,"sebenernya udah bagus yang lama, update sekarang banyak banget fitur-fitur yang ngga kepake dan malah bikin ribet",0,Negative
4,"Wa sekarang bagus,tapi tolong di perbaiki lagi kalau nelpon saat 30 mnit selalu ada masalah mikropon anda Tidak berfungsi mohon di perbaiki lago mhon terima kasih 👍👍👍👍👍👍",0,Negative
5,Tolong percepat jaringan nya agar selalu normal kembali dan percepat jaringan nya saat mengirim video dan pesan kinerja nya yang sat set tanpa ada gangguan jaringan sedikit pun,1,Positive
6,"Untuk WA sekarang ngga bagus, apalagi setelah di update yang dimana tombol chat, status, komunitas, dan log panggilan ada dibawah malah jadi di atas lagi Dan yang paling penting adalah ""HAPUS FITUR SALURAN"" karena fitur itu sangat tidak beguna sama sekali!!!",0,Negative
7,"Saya setia menggunakan whatsapp ini,saya berharap ada terbaru aplikasi nya agar photo yang dikirim 1 kali bisa dilihat supaya mudah bisa membuka photo kembali yang kita lihat.terima kasih",1,Positive
8,Kenapa aplikasi WhatsApp ini sering sekali kena spam . Padahal Sudah sering sekali saya perbarui. Saya sangat membutuhkan sekali whatsap ini untuk menghubungi keluarga dan teman teman saya . Mohon bantuannya min. Terimakasih,0,Negative
9,"fitur saluran itu buat apa sih? terlalu banyak fitur gk penting,gk usah di campur campur gini deh wa. gk usah neko neko. gw yakin akan di tinggal ini wa kalo terlalu banyak fitur.seperti bbm.",0,Negative
10,"saran saya fitur panggilan dari nomor tak dikenal akan dibisukan, diubah jadi fitur panggilan dari nomor tak dikenal tidak bisa menghubungi. kalau cuma panggilan dibisukan mah cukup nada dering panggilan dibisukan aja, gk usah pakai fitur panggilan dari nomor tak dikenal akan dibisukan. kalau menambahkan fitur terbaru itu yang berguna dikit lah.",0,Negative
11,"Udah lumayan bagus banget tapi tolong bug yang di potonya, poto di galeri udah di hapus tapi di watsapp nya masih ada walaupun ga bisa di lihat tolong yah",0,Negative
12,"WhatsApp merupakan aplikasi pesan instan yang sangat efisien dan mudah digunakan. Fitur panggilan suara dan video yang berkualitas tinggi menambah pengalaman komunikasi. Antarmuka yang bersih dan intuitif membuat penggunaan sehari-hari menjadi lancar. Meskipun demikian, perhatian lebih terhadap keamanan privasi dapat menjadi peningkatan yang diinginkan oleh sebagian pengguna. secara keseluruhan, WhatsApp tetap menjadi pilihan utama untuk berkomunikasi dengan teman dan keluarga.",1,Positive
13,"WhatsApp merupakan aplikasi pesan instan yang sangat efisien dan mudah digunakan. Fitur panggilan suara dan video yang berkualitas tinggi menambah pengalaman komunikasi. Antarmuka yang bersih dan intuitif membuat penggunaan sehari-hari menjadi lancar. Meskipun demikian, perhatian lebih terhadap keamanan privasi dapat menjadi peningkatan yang diinginkan oleh sebagian pengguna. secara keseluruhan, WhatsApp tetap menjadi pilihan utama untuk berkomunikasi dengan teman dan keluarga.",1,Positive
14,"Aplikasi nya sangat bagus cuma update kali ini agak mengecewakan yg untuk tampilan sw, tapi yglain cukup bagus cuma ada yg kurang durasi untuk video di sw tolong di perpanjang lagi, tambahkwn koin buat kirim give/hadiah trs bisa buat give sendiri tambahkan bot juga",0,Negative
15,"sungguh tidak enak buat nlpon suaranya pun tidak jelas, putus""dan yg paling jengkel setiap nlpon mau di lespeker kan tidak bisa...tapi tetap saya kasih bintang lima semoga cepat diperbaiki..",0,Negative
16,"Saya keluar dari grup whatsapp, dan saat saya minta lagi untuk di undang, kenapa tidak bisa? Selalu ada tulisan ""Anda tidak bisa menambahkan (nama kontak) karena kontak tersebut telah keluar dari grup baru baru ini. Coba lagi nanti"" Padahal sudah lama keluarnya",0,Negative
17,dari bulan oktober 2023... kok story video di w'a agak buram yah.. padahal video nya bguss... pas jdi story w'a selalu buram.. gk kaya dulu... tolong bantu gan... 🙏🙏🙏🙏,0,Negative
18,Ga suka sma whatsapp yg sekarang. Setiap status org yg kita lihat mlh kesimpen otomatis ke galery kita. Kan jd menuh2i memory.. Mending whatsapp yg dlu.,0,Negative
19,"Baru baru ini setiap ada foto atau vidio di status selalu otomatis kesimpan di galeri,, ini bug apa gimana!? soalnya sebelum nya ga ada tuh kayak gitu!!",0,Negative
20,"Bikin penuh memori hp saja..tiap kali buka story teman, foto mau video yg di lihat pasti langsung ke simpan ke galeri hp kita Tolong di perbaiki agar tidak membuat para pengguna WA risih dg foto dan video teman yg tiba2 ada masuk ke galeri hp kita",0,Negative
21,"Setelah aku update WhatsApp kek sering bug gitu, pas aku mau post foto/video, sebelum aku post jernih banget eh pas aku udah post jadi buram , Dan juga aku ngesave nomor org tuh selalu bug, pas udah di sv eh ga kesve pdhal udah aku sve jdi nya kalo mau ngesave no orang harus kekontak dulu",0,Negative
22,"pan si, jadi kaluhan itu pas waktu telpon itu kenapa sihhhahduhhhhhhg #nj mati mati gak jelas kalo di hidupin gk bisa apsi kenapa sihhh coba teliti dong update ko gk ada perubahan hp hampir mati total gr gr waa!!..??"";_(",0,Negative
23,"Kualitas vidio distory jadi menurun, padahal di vidio asli nya bagus, tiba di up di story jadi gambarnya agak pecah Mohon untuk diperbaiki lagi dan di perhatikan lagi",0,Negative
